Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
Homewood North,41,1210,129.645671,855,122.0655562,305,80.44252607,550,104.6374694,106,62.16912417,444,98.94948206,355,84.07734534,332,83.86894539,23,37.05401463
Homewood South,42,1082,116.9016681,489,90.70832376,127,44.20407221,362,89.05616206,24,22.56102835,338,87.12060606,593,90.59249417,552,85.92438536,41,38.49675311
Homewood West,43,392,75.00666637,145,48.27007354,70,24.16609195,75,44.65422712,7,14.14213562,68,43.829214,247,63.2455532,243,63.82005954,4,12.20655562
Knoxville,44,1510,218.7167118,985,201.1119091,416,134.4507345,569,174.5709025,52,46.5295605,517,173.7843491,525,151.4430586,495,150.797878,30,34.95711659
Larimer,45,652,91.7496594,332,73.25298629,97,46.40043103,235,60.44832504,22,25.21904043,213,56.30275304,320,77.8524245,312,77.4467559,8,17
Lincoln Place,46,1460,139.907112,952,141.5980226,648,115.2041666,304,111.2654484,105,65.95452979,199,91.82592227,508,101.2620363,455,99.15139938,53,35.7211422
Lincoln-Lemington-Belmar,47,1959,154.4668249,1081,142.495614,296,71.50524456,785,130.1729619,206,84.30302486,579,126.9881884,878,128.8836685,782,123.5151813,96,52.05766034
Lower Lawrenceville,48,1257,125.399362,499,109.2016483,241,72.40165744,258,90.02777349,59,57.87054518,199,71.28113355,758,119.6703806,524,107.5639345,234,70.83078427
Manchester,49,984,119.3314711,406,88.39117603,215,72.00694411,191,77.83315489,55,48.08326112,136,63.28506933,578,115.6027681,451,106.5504575,127,56.79788728
Marshall-Shadeland,50,1565,182.6554133,991,148.3071138,404,96.58674857,587,133.4840814,113,65.88626564,474,121.3795699,574,132.4273386,464,118.785521,110,62.3778807
Middle Hill,51,926,122.0860352,384,95.46203434,67,39.87480407,317,92.00543462,33,30,284,88.98314447,542,104.6613587,474,105.9056184,68,34.6554469
Morningside,52,1534,141.5556428,783,116.5933103,539,99.76472322,244,75.84853328,42,41.10960958,202,68.46897107,751,130.6522101,617,122.417319,134,62.08864631
Mount Oliver Borough,53,1465,173.8907703,780,140.0214269,216,66.30233782,564,139.3735986,127,76.56369897,437,122.7558553,685,152.4926228,565,138.1231335,120,67.74215822
Mount Washington,54,4385,249.523546,1615,181.3449751,995,146.6833324,620,137.1932943,204,76.03288762,416,114.8477253,2770,251.4438307,1905,214.1261311,865,159.0723106
Mt. Oliver,55,261,57,147,32,94,27,53,25,8,8,45,25,114,56,88,50,26,32
New Homestead,56,379,32,271,32,223,35,48,28,14,12,34,24,108,36,101,37,7,8
North Oakland,57,2972,230.5168107,633,133.1465358,490,113.1856881,143,77.5112895,33,35.15679166,110,70.85901495,2339,236.3620105,1657,222.6521951,682,159.3016007
North Shore,58,154,45.12205669,22,24.16609195,18,23.2594067,4,12.20655562,0,14.14213562,4,12.20655562,132,45.12205669,119,43.17406629,13,17.20465053
Northview Heights,59,510,81,354,88,42,33,312,87,44,39,268,85,156,65,125,58,31,37
Oakwood,60,552,46,259,58,210,61,49,28,23,20,26,22,293,53,282,50,11,12
Overbrook,61,1594,104.1441309,1003,105.5367235,679,89.57120073,324,78.75912646,114,62.72160712,210,61.75759063,591,93.6322594,473,81.22191822,118,55.57877293
Perry North,62,1625,132.238421,866,112.2541759,535,99.74968672,331,88.49293757,79,43.31281566,252,80.2371485,759,122.4214034,640,114.2716063,119,48.27007354
Perry South,63,1630,164.2893788,655,115.8878768,257,71.97221686,398,96.35351576,29,34.3220046,369,94.79451461,975,153.3916556,842,143.6453967,133,77.44029959
Point Breeze,64,2342,137.4336203,1500,115.0956124,1280,112.7430707,220,64.24951362,54,33.13608305,166,57.48043145,842,125.574679,615,116.0258592,227,72.16647421
Point Breeze North,65,996,148.7212157,348,92.40129869,246,69.18814927,102,62.49799997,37,39.30648801,65,46.66904756,648,164.5691344,500,156.1345574,148,73.92563831
Polish Hill,66,710,77.89736838,243,53.75872022,128,38.18376618,115,39.20459157,71,36.35931793,44,22.8035085,467,77.15568676,328,63.78087488,139,54.4885309
Regent Square,67,476,28,292,41,237,45,55,24,26,17,29,19,184,41,153,42,31,21
Ridgemont,68,162,46,84,39,57,29,27,27,0,10,27,27,78,45,66,40,12,18
Shadyside,69,7484,360.9196586,1839,231.5124187,1681,226.1636576,158,70.16409338,21,41.40048309,137,67.88961629,5645,362.2995998,4080,327.9161478,1565,235.5355599
Sheraden,70,2202,195.2690452,1417,186.9438418,677,137.6626311,740,179.9527716,37,35.28455753,703,174.642492,785,156.9108027,737,153.346014,48,38.89730068
South Oakland,71,1155,150.512458,266,81.93289938,154,66.4003012,112,51.70106382,38,33.22649545,74,41.96427052,889,147.0714112,524,117.6180258,365,98.39207285
South Shore,72,8,9,0,10,0,10,0,10,0,10,0,10,8,9,4,6,4,7
South Side Flats,73,3311,264.5675717,815,153.3753566,566,125.463142,249,103.9278596,116,81.43095235,133,69.5413546,2496,270.9833943,1746,232.9098538,750,185.5828656
South Side Slopes,74,1988,173.3291666,839,135.9558752,415,101.2274666,424,105.5888252,153,69.87846592,271,81.54753215,1149,158.3824485,685,130.8434179,464,107.4150827
Spring Garden,75,397,60.81118318,192,47.38143096,94,35,98,38.47076812,26,25.29822128,72,29.41088234,205,53.41348144,164,48.76474136,41,30.88689042
Spring Hill-City View,76,1080,138.1665661,580,144.6547614,245,63.47440429,335,136.5906293,13,25.3179778,322,134.6105494,500,130.2919798,392,125.2118205,108,62.43396512
Squirrel Hill North,77,3370,187.8909258,1853,168.0119043,1681,163.6306817,172,68.8621812,21,36.24913792,151,65.23036103,1517,171.8080324,994,146.2053351,523,109.658561
Squirrel Hill South,78,7211,332.6018641,3487,287.2907934,3014,272.4995413,473,161.7899873,122,80.23091673,351,141.7603612,3724,327.6293638,2874,298.1040087,850,172.0435991
St. Clair,79,101,42,47,19,18,15,29,20,0,10,29,20,54,39,29,28,25,29
Stanton Heights,80,2056,129.0465032,1268,127.7732366,891,109.1512712,377,87.35559513,80,57.28874235,297,87.74394566,788,116.447413,741,112.1293895,47,36.95943723
Strip District,81,520,53,137,45,129,44,8,13,0,10,8,13,383,60,349,62,34,23
Summer Hill,82,517,16,288,38,202,45,86,37,38,25,48,30,229,37,181,40,48,25
Swisshelm Park,83,577,58,376,45,318,49,58,31,0,10,58,31,201,59,166,49,35,37
Terrace Village,84,831,105.2710786,243,66.71581522,45,35.28455753,198,58.73670062,32,30.16620626,166,53.55371136,588,95.65563235,494,84.24369413,94,46.67976007
Troy Hill,85,1158,147.8005413,546,115.6243919,297,84.90583019,249,94.04786016,112,68.00735254,137,68.8839604,612,124.4507935,509,120.9669376,103,47.80167361
Upper Hill,86,942,159.9656213,410,119.5575175,240,103.6387958,170,81.68231143,15,27.85677655,155,77.05193054,532,159.1508718,477,147.3091986,55,57.97413216
Upper Lawrenceville,87,1287,137.0912105,543,114.376571,334,99.64436763,209,79.63667497,90,53.60037313,119,60.61352984,744,142.1478104,515,117.2092147,229,101.4445661
West End,88,99,47,28,20,19,16,9,16,0,10,9,16,71,44,39,27,32,43
West Oakland,89,630,79.61155695,261,60.90155991,34,23.43074903,227,56.43580424,16,19.72308292,211,55.56977596,369,69.11584478,261,66.21178143,108,46.40043103
Westwood,90,1492,112.5388822,896,113.7189518,673,115.6633045,223,61.29437168,70,38.48376281,153,57.24508713,596,111.7318218,526,113.8639539,70,40.49691346
Windgap,91,647,100.124922,373,99.48869282,236,80.7093551,137,71.42128534,68,50.11985634,69,50.99019514,274,76.4198927,203,56.63920903,71,51.6139516
